source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[material type]	characteristics[sample type]	characteristics[enrichment process]	characteristics[crosslink distance]	characteristics[crosslinking reaction time]	characteristics[crosslinking temperature]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[MS min charge]	comment[MS max charge]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fractionation method]	comment[chemical cross-linking coupled with ms]	comment[cross-linker]	comment[crosslink enrichment method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[crosslink strategy]	factor value[solution ph]	factor value[acquisition mode]
PXD055169-Sample-1	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220212_01	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220212_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220212_01.raw	1	SEC1_RP1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-1	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220212_03	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220212_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220212_03.raw	1	SEC1_RP2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-1	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220212_05	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220212_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220212_05.raw	1	SEC1_RP3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-1	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220212_07	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220212_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220212_07.raw	1	SEC1_RP4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-1	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220212_09	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220212_09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220212_09.raw	1	SEC1_RP5	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-1	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220212_13	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220212_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220212_13.raw	1	SEC1_RP6	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-2	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220213_01	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220213_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220213_01.raw	1	SEC2_RP1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-2	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220213_03	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220213_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220213_03.raw	1	SEC2_RP2	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-2	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220213_05	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220213_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220213_05.raw	1	SEC2_RP3	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
PXD055169-Sample-2	Homo sapiens	cultured cell	HEK293	not applicable	1	cell	not available	size exclusion chromatography and high pH reverse phase chromatography	4.2 A	30 min	37 C	OrbitrapLUMOS_20220213_07	proteomic profiling by mass spectrometry	OrbitrapLUMOS_20220213_07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2025/10/PXD055169/OrbitrapLUMOS_20220213_07.raw	1	SEC2_RP4	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Data-dependent acquisition;AC=PRIDE:0000449	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=CID;AC=MS:1000133	not available	2	8	375	1500	1.6	size exclusion chromatography and high pH reverse phase chromatography	chemical cross-linking coupled with mass spectrometry proteomics	NT=SIA;AC=CHEBI:62903	size exclusion chromatography and high pH reverse phase chromatography	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0	SIA	pH 7	MS3
